City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,pointe-noire,-4.7761,11.8635,300.19,89,40,1.54,CG,1969-12-31 19:00:01.682292945-05:00
59,igarka,67.4667,86.5833,272.69,91,98,6.06,RU,1969-12-31 19:00:01.682292945-05:00
60,ust-nera,64.5667,143.2,268.05,89,100,3.82,RU,1969-12-31 19:00:01.682292945-05:00
61,uliastay,47.7417,96.8444,268.91,78,43,1.76,MN,1969-12-31 19:00:01.682292946-05:00
62,constantia,44.1833,28.65,279.65,79,9,3.22,RO,1969-12-31 19:00:01.682292946-05:00
63,saipan,15.1355,145.701,302.54,100,0,8.23,MP,1969-12-31 19:00:01.682292946-05:00
64,cooper's town,26.8667,-77.5167,297.26,71,1,4.2,BS,1969-12-31 19:00:01.682292946-05:00
65,bethanie,-26.4833,17.15,294.49,18,99,3.15,NA,1969-12-31 19:00:01.682292946-05:00
66,klyuchi,52.2667,79.1667,280.69,51,76,7.66,RU,1969-12-31 19:00:01.682292946-05:00
67,cidreira,-30.1811,-50.2056,294.75,80,85,6.77,BR,1969-12-31 19:00:01.682292947-05:00
68,osmancik,40.9782,34.8047,283.63,85,100,1.79,TR,1969-12-31 19:00:01.682292947-05:00
69,papatowai,-46.5619,169.4708,284.61,71,66,8.85,NZ,1969-12-31 19:00:01.682292947-05:00
70,queenstown,-31.8976,26.8753,287.67,61,99,1.56,ZA,1969-12-31 19:00:01.682292947-05:00
71,takayama,36.1333,137.25,281.07,38,100,2.3,JP,1969-12-31 19:00:01.682292948-05:00
72,kaitong,44.8135,123.15,282.35,14,10,4.8,CN,1969-12-31 19:00:01.682292948-05:00
73,amga,60.8953,131.9608,270.15,87,100,4.8,RU,1969-12-31 19:00:01.682292948-05:00
74,katsuura,35.1333,140.3,283.53,82,100,7.93,JP,1969-12-31 19:00:01.682292948-05:00
75,thompson,55.7435,-97.8558,276.24,48,20,3.6,CA,1969-12-31 19:00:01.682292948-05:00
76,tezu,27.9167,96.1667,292.23,91,100,1.43,IN,1969-12-31 19:00:01.682292949-05:00
77,sinabang,2.4803,96.3801,300.42,82,88,2.39,ID,1969-12-31 19:00:01.682292949-05:00
78,hasaki,35.7333,140.8333,285.53,52,100,7.82,JP,1969-12-31 19:00:01.682292695-05:00
79,isangel,-19.55,169.2667,303.21,74,20,2.06,VU,1969-12-31 19:00:01.682292949-05:00
80,zhengzhou,34.7578,113.6486,281.42,96,100,2.3,CN,1969-12-31 19:00:01.682292762-05:00
81,habiganj,24.3833,91.4167,293.13,89,8,2.19,BD,1969-12-31 19:00:01.682292950-05:00
82,port elizabeth,-33.918,25.5701,293.2,89,20,1.54,ZA,1969-12-31 19:00:01.682292950-05:00
83,tahe,52.3333,124.7333,276.05,34,1,2.07,CN,1969-12-31 19:00:01.682292950-05:00
84,hawaiian paradise park,19.5933,-154.9731,300.88,80,40,7.2,US,1969-12-31 19:00:01.682292950-05:00
